Nominal voltage,12 V
No load speed,12400 rpm
No load current,226 mA
Nominal speed,9800 rpm
Nominal torque (max. continuous torque),23 mNm
Nominal current (max. continuous current),2.71 A
Stall torque,114 mNm
Stall current,12.6 A
Max. efficiency,76 %
